cell_id_unique,latitude,longitude
111,38.7010829,-9.223564
121,38.715833,-9.1211221
221,38.7271013,-9.1176323
311,38.6968369,-9.2147077
411,38.7093977,-9.2107082
511,38.7008788,-9.2071641
611,38.7044397,-9.2013205
711,38.6970686,-9.2010124
721,38.739982,-9.1235792
811,38.7065446,-9.1928962
821,38.7530046,-9.1229687
1011,38.7044984,-9.1876923
1021,38.7613724,-9.1348383
1111,38.7011943,-9.1798865
1121,38.76911,-9.1779044
1221,38.7612527,-9.1887617
1311,38.704887,-9.1692575
1321,38.7669931,-9.2048919
1411,38.7126183,-9.1698624
1421,38.7557719,-9.2057805
1511,38.7188192,-9.1693019
1521,38.760154,-9.2240935
1591,38.6841625,-9.1473175
1611,38.7234317,-9.1703136
1621,38.7488923,-9.2225623
1711,38.7298836,-9.1578807
1721,38.7134726,-9.1995055
1811,38.7324133,-9.1662621
1821,38.7138572,-9.2114114
1911,38.7335798,-9.1499846
2011,38.7357347,-9.1419121
2111,38.7395522,-9.1586269
2121,38.7242168,-9.2369806
2211,38.7409429,-9.1495858
2221,38.7243408,-9.2196331
2311,38.7423539,-9.1454923
2321,38.7255397,-9.2045434
2411,38.7329336,-9.1328979
2421,38.7428858,-9.2296204
2511,38.7396121,-9.1322084
2521,38.7403091,-9.2101086
2611,38.7432394,-9.1281186
2711,38.7502673,-9.1292359
2721,38.7746811,-9.1882215
2821,38.786206,-9.1650513
2911,38.7405634,-9.1638186
3011,38.7441775,-9.1569571
3111,38.7465149,-9.1964674
3211,38.7542305,-9.1954988
3311,38.7509661,-9.185777
3411,38.7587325,-9.186856
3511,38.7469591,-9.1779415
3611,38.7560015,-9.175501
3711,38.7618965,-9.1805568
3811,38.7448927,-9.1737592
3911,38.7509259,-9.1708047
4011,38.7622458,-9.1760457
4111,38.7639339,-9.1679697
4211,38.7701874,-9.1684103
4311,38.7748232,-9.1592576
4411,38.76657,-9.1647068
4511,38.7596826,-9.1664289
4611,38.7551765,-9.1665796
4711,38.7467623,-9.1646728
4811,38.7517488,-9.1558919
4911,38.7580389,-9.1559516
5011,38.7636805,-9.1557682
5111,38.7693586,-9.155228
5211,38.7655354,-9.15004
5411,38.7543183,-9.1480255
5511,38.7566419,-9.1342769
5611,38.758595,-9.14396
5671,38.7489449,-9.1185197
5711,38.7524888,-9.140852
5811,38.7312911,-9.1425821
5911,38.7208324,-9.1536736
6011,38.7266103,-9.1594036
6111,38.7203559,-9.1659926
6211,38.7185974,-9.1603866
6221,38.7882932,-9.1853787
6311,38.7124358,-9.1517923
6411,38.7131503,-9.1633189
6511,38.7110872,-9.1562636
6611,38.7097421,-9.151177
6711,38.7085015,-9.1415707
6721,38.775692,-9.1755607
6811,38.711626,-9.1361365
6871,38.7087832,-9.2306959
6911,38.712473,-9.1437754
6921,38.7175528,-9.234658
7011,38.7153559,-9.1444714
7111,38.7122728,-9.1300301
7211,38.7167411,-9.1392174
7311,38.7228272,-9.1440953
7411,38.7238334,-9.1391967
7511,38.7186473,-9.1352066
7611,38.7262188,-9.1487613
7711,38.7052036,-9.1620473
7811,38.7446174,-9.1367515
7911,38.7066274,-9.1621195
7921,38.7103663,-9.2229028
8011,38.7296598,-9.1270474
8021,38.7756425,-9.1460895
8111,38.7259585,-9.1328735
8161,38.7055399,-9.206039
8211,38.7099957,-9.1635993
8311,38.7083435,-9.1719915
8411,38.7221107,-9.1245263
8521,38.735425,-9.2197591
8621,38.7266417,-9.1924095
8711,38.7111649,-9.1775882
8761,38.7480311,-9.1840087
8811,38.7179191,-9.1486176
8911,38.7360346,-9.1471824
9011,38.7147911,-9.1562487
9111,38.722196,-9.1582894
9211,38.7161497,-9.1284268
9311,38.7221872,-9.1202931
9411,38.739478,-9.1390544
9511,38.7275956,-9.1431155
9611,38.722254,-9.148385
9711,38.7479005,-9.1419247
9911,38.7167152,-9.152756
9941,38.6779307,-9.164308
10011,38.7135402,-9.1406145
10041,38.6853634,-9.1524824
10111,38.7521312,-9.1783686
10141,38.6693703,-9.1636447
10211,38.7117813,-9.1923696
10311,38.7314635,-9.1623942
10361,38.7219103,-9.1628902
10411,38.7087193,-9.132623
10611,38.7664778,-9.1723957
10661,38.7326571,-9.1456222
10711,38.7613686,-9.1526325
10911,38.7287275,-9.1307502
10961,38.7392163,-9.1467056
11011,38.7079025,-9.1891274
11061,38.7344364,-9.1348336
11411,38.7123047,-9.1337339
11511,38.7331696,-9.1392148
11721,38.7525246,-9.2315501
11841,38.6698773,-9.1862225
11921,38.7487807,-9.2097882
12011,38.7248798,-9.1527964
12211,38.7051505,-9.2170442
12311,38.7004535,-9.1923853
12521,38.790245,-9.1761722
12611,38.7065291,-9.1800379
12721,38.7534525,-9.2176277
12911,38.7506052,-9.1482825
14321,38.7695417,-9.1953449
14721,38.7159563,-9.2262099
15021,38.7046582,-9.2294405
15521,38.741571,-9.2197549
15621,38.7632001,-9.2043631
16121,38.7432552,-9.2054454
16871,38.7385017,-9.2225875
17271,38.7626675,-9.1943018
17821,38.7683962,-9.2114572
18441,38.6758664,-9.1581874
19021,38.73683,-9.1125856
20211,38.7564072,-9.1870571
20311,38.7254096,-9.160954
20521,38.7679735,-9.2207337
22121,38.7841915,-9.1554329
29341,38.6814531,-9.1586595
30011,38.734668,-9.1517128
30111,38.7153451,-9.1529832
30211,38.7629006,-9.1593577
30241,38.6771076,-9.1726755
30311,38.7338287,-9.1455441
30411,38.7437279,-9.1420775
30611,38.7540954,-9.184381
30711,38.7158326,-9.1215247
30811,38.7348948,-9.1433717
30911,38.7552793,-9.1434009
31011,38.7503477,-9.1893084
31021,38.7296618,-9.2174405
31111,38.7352181,-9.1443273
31211,38.766683,-9.1738121
31311,38.7667149,-9.1507907
31411,38.7486764,-9.1620304
31511,38.7431624,-9.1401893
31541,38.6797192,-9.1738889
31611,38.756406,-9.1870567
31641,38.6636158,-9.1728608
31811,38.7698404,-9.1715175
32021,38.7153695,-9.2220327
32211,38.71284,-9.1383702
32311,38.7145321,-9.1544538
32621,38.7840142,-9.1900767
32721,38.7302447,-9.2141173
32811,38.7338309,-9.1438182
32911,38.7324734,-9.1484176
33121,38.7118631,-9.2271632
33211,38.7002407,-9.1846337
33221,38.7524338,-9.1172135
33511,38.7304038,-9.1458938
33811,38.7444915,-9.1440237
33911,38.7264805,-9.1484627
34011,38.7565629,-9.1854577
34111,38.7157799,-9.136639
34211,38.7389177,-9.1326674
34311,38.7220039,-9.1536416
34411,38.7534677,-9.1576449
34511,38.77533,-9.1577046
34611,38.7581575,-9.1913662
40111,38.7336707,-9.1264447
40141,38.689852,-9.14488
40311,38.7184761,-9.1352177
40511,38.7298438,-9.1469165
40611,38.7172948,-9.1433825
40721,38.7216874,-9.1965145
40811,38.7422729,-9.1454116
40821,38.7187003,-9.1824151
40921,38.7254539,-9.1857339
41011,38.7197196,-9.1500822
41021,38.7302579,-9.1963539
41121,38.7351419,-9.1965513
41221,38.7306573,-9.1890953
41321,38.7355823,-9.180525
51341,38.6868748,-9.1475185
51611,38.7638279,-9.1388715
61741,38.6802198,-9.1508734
64641,38.6710767,-9.1678215
